divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,227,385,341,325,1946,1932,0
off,228,385,341,359,1954,1933,0
off,229,383,339,354,1952,1933,0
off,230,384,339,322,1951,1931,0
off,231,384,341,345,1953,1934,0
off,232,384,341,358,1953,1933,0
off,233,383,338,355,1951,1933,0
off,234,384,339,320,1950,1932,0
off,235,384,341,353,1953,1934,0
off,236,383,339,328,1949,1932,0
off,237,384,340,345,1951,1932,0
off,238,381,339,355,1952,1932,0
off,239,385,338,322,1951,1933,0
off,240,385,341,324,1951,1933,0
off,241,382,341,359,1951,1933,0
off,242,382,340,357,1951,1932,0
off,243,385,339,323,1952,1933,0
off,244,384,341,326,1949,1932,0
off,245,382,339,355,1951,1933,0
off,246,385,339,322,1951,1933,0
off,247,384,340,325,1951,1933,0
off,248,383,340,358,1950,1932,0
off,249,382,339,354,1955,1933,0
off,250,387,340,324,1951,1933,0
off,251,383,340,357,1950,1933,0
off,252,383,339,324,1950,1933,0
off,253,385,341,335,1951,1934,0
off,254,382,339,355,1952,1933,0
off,255,385,342,324,1951,1933,0
