foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start
FOC phase capture armed: 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,206,149,126,107,1951,1931,953
FPV,207,146,127,144,1949,1931,953
FPV,208,148,127,144,1951,1933,953
FPV,209,146,126,144,1949,1932,953
FPV,210,148,127,130,1952,1932,953
FPV,211,149,128,113,1949,1931,953
FPV,212,150,126,109,1952,1933,953
FPV,213,149,126,111,1950,1932,953
FPV,214,149,126,106,1950,1932,953
FPV,215,149,126,107,1950,1933,953
FPV,216,147,125,107,1950,1932,953
FPV,217,149,126,109,1951,1933,953
FPV,218,149,126,108,1951,1932,953
FPV,219,149,127,111,1949,1933,953
FPV,220,149,126,109,1950,1932,953
FPV,221,150,126,108,1950,1932,953
FPV,222,146,127,111,1949,1933,953
FPV,223,146,125,140,1951,1932,953
FPV,224,144,127,143,1950,1933,953
FPV,225,145,127,142,1951,1933,953
FPV,226,148,127,145,1951,1932,953
FPV,227,148,128,136,1950,1932,953
FPV,228,146,125,139,1955,1932,953
FPV,229,146,125,141,1951,1932,953
FPV,230,145,127,143,1950,1933,953
FPV,231,148,126,106,1950,1933,953
FPV,232,149,127,113,1947,1931,953
FPV,233,145,127,143,1950,1933,953
FPV,234,146,125,141,1952,1933,953
FPV,235,146,126,106,1950,1933,953
FPV,236,145,125,105,1949,1932,953
FPV,237,149,128,113,1951,1932,953
FPV,238,148,127,148,1952,1932,953
FPV,239,146,126,139,1954,1933,953
FPV,240,146,126,104,1948,1933,953
FPV,241,149,127,112,1950,1932,953
FPV,242,149,128,112,1950,1933,953
FPV,243,148,129,139,1952,1932,953
FPV,244,149,126,109,1951,1932,953
FPV,245,147,127,105,1948,1933,953
FPV,246,146,125,139,1951,1932,953
FPV,247,146,126,106,1950,1932,953
FPV,248,148,126,107,1952,1931,953
FPV,249,148,128,113,1948,1931,953
FPV,250,148,127,110,1950,1932,953
FPV,251,148,128,145,1951,1932,953
FPV,252,147,128,146,1949,1932,953
FPV,253,149,125,107,1950,1932,953
FPV,254,148,128,113,1952,1933,953
FPV,255,146,126,141,1951,1933,953
msh >
msh >
FOC alive flags=0x0004231f sync=1022391 steps=0 errors=0 Vbus=12288mV.
foc_status
FOC state=uninitialized observer=rust-smo-pll reliable=0 closed=0 target=0rpm estimate=0rpm.
FOC Iref d/q=0/0mA I d/q=0/0mA V d/q=0/0mV.
FOC observer bemf a/b=0/0mV pllerr=0mrad speed mean/var=0/0 gate=0x00 streak=0 wait/loss=0/0ms vlim=0.
FOC flags=0x0004231f steps=0 errors=0 ISRmax=0/12500 cycles misses=0 peak=0 (~0mA).
FOC timing independent peaks pre/control/post=0/0/0 cycles; do not sum.
FOC rates PWM/control=12000/12000Hz ratio=1 delay=1 PWM ticks ADC trigger=1.
FOC sync interval last/min/avg/max=0/0/0/0 cycles (0 samples); monitor ISR=0/0/0 cycles.
FOC WCET step=0 total=0 pre/control/post=0/0/0 trace=0/0 samples=0 invalid=0.
FTIMING,1,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,271135
FOC last status=0 rust_fault=0x00000000 duty=0/0/0 per-mille.
FOC boot-profile status=0 rev=1 board=0x43116001 motor=0x28041007 approvals=0x00 runtime/record CRC=0x8c7a8df4/0xd9f996c3.
FOC ADC U/V/W=1950/1933/1954 offsets=1951/1933/1953 Vbus=952 (~12275mV) Pot=2046.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
