kSlideV,boundaryA,emfAlpha,reliableSamples,holdSpeedRmseRpm,holdAngleRmseRad,peakIqA
1.5,0.016,0.2,10803,72.2983297135688,0.253803850094857,0.198865214536516
1.5,0.016,0.4,0,207.459085982481,0.239539063208577,0.198865214536516
1.5,0.016,0.6,0,329.483274532203,0.258682965004554,0.198865214536516
1.5,0.016,0.8,0,383.061058291253,0.27926627261344,0.198865214536516
1.5,0.032,0.05,10883,15.5248323247728,0.41946652387686,0.198865214536516
1.5,0.032,0.1,10883,28.0527050881861,0.307271631897451,0.198865214536516
1.5,0.032,0.2,10883,56.5169858988421,0.252426317338255,0.198865214536516
1.5,0.032,0.4,8451,115.647892374952,0.224643463430413,0.198865214536516
1.5,0.032,0.6,10179,110.540753282712,0.23479820775232,0.198865214536516
1.5,0.032,0.8,0,364.225502178026,0.267600997892916,0.198865214536516
1.5,0.064,0.05,10899,4.23695589783584,0.427990706889065,0.198865214536516
1.5,0.064,0.1,10899,4.38915122348312,0.313627582202563,0.198865214536516
1.5,0.064,0.2,10915,4.53373924534182,0.256423962237966,0.198865214536516
1.5,0.064,0.4,10915,4.77866086136911,0.228414134844894,0.198865214536516
1.5,0.064,0.6,10915,5.1875975347869,0.219401500956104,0.198865214536516
1.5,0.064,0.8,10915,20.845573894455,0.213552448765911,0.198865214536516
1.5,0.128,0.05,10899,4.2120571981713,0.450820170329511,0.198865214536516
1.5,0.128,0.1,10899,4.36251552259001,0.327960955313099,0.198865214536516
1.5,0.128,0.2,10915,4.4734271080831,0.266180254193921,0.198865214536516
1.5,0.128,0.4,10915,4.61602100798428,0.235819690569592,0.198865214536516
1.5,0.128,0.6,10915,4.72260595317036,0.22586915165898,0.198865214536516
1.5,0.128,0.8,10915,4.84409989607018,0.220974863959043,0.198865214536516
2,0.016,0.05,10867,28.5745055873642,0.42747653731163,0.198865214536516
2,0.016,0.1,10883,50.4013196704548,0.308137767028886,0.198865214536516
2,0.016,0.2,8723,107.069001303507,0.253398601462484,0.198865214536516
